Generation,Best_Fitness,Average_Fitness
157,21,8.46
158,21,8.42
159,21,7.913333333333333
160,21,8.806666666666667
161,21,8.74
162,21,8.693333333333333
163,21,8.626666666666667
164,21,9.08
165,21,8.4
166,21,8.42
167,21,8.393333333333333
168,21,8.673333333333334
169,21,8.986666666666666
170,21,8.66
171,21,8.78
172,21,7.7
173,21,8.82
174,21,9.18
175,21,9.053333333333333
176,21,9.3
177,21,8.593333333333334
178,21,8.586666666666666
179,21,8.766666666666667
180,21,8.066666666666666
181,21,8.673333333333334
182,21,8.733333333333333
183,21,8.773333333333333
184,21,8.473333333333333
185,21,8.613333333333333
186,21,8.733333333333333
187,21,8.906666666666666
188,21,8.546666666666667
189,21,8.766666666666667
190,21,8.753333333333334
191,21,9.513333333333334
192,21,8.846666666666666
193,21,9.246666666666666
194,21,9.493333333333334
195,21,8.526666666666667
196,21,8.88
197,21,7.6466666666666665
198,21,8.42
199,21,8.506666666666666
200,21,8.506666666666666
201,21,8.266666666666667
202,21,8.686666666666667
203,21,8.46
204,21,9.106666666666667
205,21,8.88
206,21,8.973333333333333
207,21,8.413333333333334
208,21,9.293333333333333
209,21,9.206666666666667
210,21,8.26
211,21,8.74
212,21,7.84
213,21,9.053333333333333
214,21,9.7
215,21,8.546666666666667
216,21,8.306666666666667
217,21,9.2
218,21,8.14
219,21,8.32
220,21,8.64
221,21,8.413333333333334
222,21,7.946666666666666
223,21,7.68
224,21,8.46
225,21,8.206666666666667
226,21,8.593333333333334
227,21,8.926666666666666
228,21,9.253333333333334
229,21,9.733333333333333
230,21,8.32
231,21,8.126666666666667
232,21,8.213333333333333
233,21,8.426666666666666
234,21,8.353333333333333
235,21,9.506666666666666
236,21,9.066666666666666
237,21,8.546666666666667
238,21,9.26
239,21,8.88
240,21,8.433333333333334
241,21,9.873333333333333
242,21,8.96
243,21,7.8
244,21,8.426666666666666
245,21,8.833333333333334
246,21,8.486666666666666
247,21,7.913333333333333
248,21,8.626666666666667
249,21,9.46
250,21,9.44
251,21,8.713333333333333
252,21,9.006666666666666
253,21,8.986666666666666
254,21,9.393333333333333
255,21,8.593333333333334
256,21,9.086666666666666
257,21,9.38
258,21,9.166666666666666
259,21,8.786666666666667
260,21,8.713333333333333
261,21,8.386666666666667
262,21,8.526666666666667
263,21,8.74
264,21,9.36
265,21,8.28
266,21,8.28
267,21,8.926666666666666
268,21,8.873333333333333
269,21,9.126666666666667
270,21,8.993333333333334
271,21,8.473333333333333
272,21,8.48
273,21,7.926666666666667
274,21,8.053333333333333
275,21,8.32
276,21,8.08
277,21,8.94
278,21,9.233333333333333
279,21,8.926666666666666
280,21,8.32
281,21,7.993333333333333
282,21,8.64
283,21,8.5
284,21,8.466666666666667
285,21,8.773333333333333
286,21,8.566666666666666
287,21,9.24
288,21,9.18
289,21,9.073333333333334
290,21,8.606666666666667
291,21,8.706666666666667
292,21,9.34
293,21,8.953333333333333
294,21,9.28
295,21,7.913333333333333
296,21,8.073333333333334
297,21,9.186666666666667
298,21,9.553333333333333
299,21,8.84
300,21,9.293333333333333
301,21,8.526666666666667
302,21,8.833333333333334
303,21,8.593333333333334
304,21,8.773333333333333
305,21,8.133333333333333
306,21,8.14
